,ar_bi_lstm,y_true,shift_bl,ar_lstm,cnn,lstm,bi_lstm
0,0.19520913,0.1533587100220503,0.1649565359121593,0.19731198,0.1698624,0.1840608,0.13339207
1,0.19505359,0.1533587100220503,0.1649565359121593,0.19691958,0.18311647,0.18392605,0.13370189
2,0.19411574,0.1533587100220503,0.1649565359121593,0.19552869,0.184107,0.18406768,0.13335091
3,0.19389911,0.1533587100220503,0.1649565359121593,0.19459672,0.18510944,0.18391263,0.13291337
4,0.19363452,0.1533587100220503,0.1649565359121593,0.19431742,0.18850547,0.18335533,0.13218533
5,0.19343524,0.1533587100220503,0.1649565359121593,0.1944143,0.18877177,0.1819745,0.13102502
6,0.19413316,0.1533587100220503,0.1649565359121593,0.19545053,0.18182978,0.18028803,0.13097708
7,0.19533454,0.1533587100220503,0.1591576229671049,0.19708422,0.17852291,0.17881119,0.13237967
8,0.19687721,0.1533587100220503,0.1591576229671049,0.19989446,0.18289939,0.17775816,0.13453515
9,0.19678919,0.1533587100220503,0.1591576229671049,0.20118494,0.18090469,0.17831601,0.13612184
10,0.19864978,0.1533587100220503,0.1591576229671049,0.20267998,0.18218207,0.17964998,0.13635275
11,0.20179339,0.1533587100220503,0.1591576229671049,0.20391081,0.17750467,0.18105245,0.13612017
12,0.20397983,0.1533587100220503,0.1591576229671049,0.20550822,0.17882924,0.18369924,0.13202782
13,0.20657153,0.1533587100220503,0.1591576229671049,0.20765911,0.17839271,0.18542504,0.12760223
14,0.20885237,0.1533587100220503,0.1591576229671049,0.21029396,0.17420061,0.18634593,0.122119516
15,0.20917135,0.1533587100220503,0.1591576229671049,0.21044652,0.17487034,0.18766513,0.11998629
16,0.21110398,0.1533587100220503,0.1591576229671049,0.21057825,0.17293458,0.18806075,0.120145656
17,0.20945142,0.1533587100220503,0.1591576229671049,0.20925279,0.17475504,0.18963578,0.12572294
18,0.20860168,0.1533587100220503,0.1591576229671049,0.20728834,0.17271754,0.19168645,0.13076076
19,0.20522451,0.1533587100220503,0.1591576229671049,0.20619659,0.16062105,0.19303176,0.13437009
20,0.20253076,0.1533587100220503,0.1591576229671049,0.20518862,0.15493256,0.19327362,0.13742636
21,0.20022789,0.1533587100220503,0.1591576229671049,0.2041279,0.1476865,0.19372894,0.14037473
22,0.19779508,0.1533587100220503,0.1591576229671049,0.20267116,0.1547943,0.19442616,0.14334457
23,0.19672959,0.1533587100220503,0.1591576229671049,0.2012679,0.15818556,0.19630332,0.14758366
24,0.19581302,0.1533587100220503,0.1591576229671049,0.20023327,0.16708618,0.19900972,0.14969257
25,0.19451569,0.1533587100220503,0.1591576229671049,0.19869469,0.17227192,0.20221958,0.14992803
26,0.19329485,0.1533587100220503,0.1591576229671049,0.19683814,0.1745801,0.205435,0.14896236
27,0.19290155,0.1533587100220503,0.1591576229671049,0.19564275,0.1765041,0.20798002,0.14750014
28,0.19226682,0.1591576229671049,0.1591576229671049,0.1949363,0.17813477,0.20951943,0.14492998
29,0.19204615,0.1591576229671049,0.1591576229671049,0.19445166,0.1791427,0.20990154,0.14219728
30,0.19227184,0.1591576229671049,0.1591576229671049,0.19441979,0.17624447,0.20891736,0.13998392
31,0.19323839,0.1591576229671049,0.1591576229671049,0.19511679,0.17952454,0.20788799,0.13916335
32,0.19443476,0.1591576229671049,0.1591576229671049,0.19631474,0.18036798,0.20744008,0.13967662
33,0.1955169,0.1591576229671049,0.1591576229671049,0.19777006,0.1842309,0.20782192,0.1407682
34,0.19695804,0.1591576229671049,0.1591576229671049,0.19961356,0.17973934,0.20968983,0.14199908
35,0.1976418,0.1591576229671049,0.1591576229671049,0.20081751,0.18202418,0.21232878,0.1423418
36,0.19817592,0.1591576229671049,0.1591576229671049,0.20205346,0.17895456,0.21535486,0.14154139
37,0.19865106,0.1591576229671049,0.1591576229671049,0.20318408,0.18193385,0.2165702,0.13767065
38,0.1981314,0.1591576229671049,0.1591576229671049,0.20386474,0.17807062,0.21619174,0.13560335
39,0.1980516,0.1591576229671049,0.1591576229671049,0.2036232,0.17418098,0.21589383,0.13865152
40,0.19832973,0.1591576229671049,0.1591576229671049,0.20295806,0.1787914,0.2144328,0.14172511
41,0.19801824,0.1591576229671049,0.1591576229671049,0.20224716,0.17305069,0.21289086,0.1463823
42,0.1973291,0.1591576229671049,0.1591576229671049,0.201632,0.17558399,0.21074544,0.14974214
43,0.19655706,0.1591576229671049,0.1591576229671049,0.20244665,0.16014624,0.20851532,0.15144737
44,0.19586283,0.1591576229671049,0.1591576229671049,0.20347007,0.15604,0.2058807,0.15227237
