Date,Sat_SM,Ppt,Tair,RH,Windspeed,Winddirection,Srad,Latitude,Longitude
2017-01-01,0.17092115,0.0,15.837511904761906,63.90148809523809,1.4039166666666667,168.69285714285712,103.68529761904759,30.4421,-98.8427
2017-01-02,0.19209906,0.03779761904761918,14.819404761904762,63.17446428571428,1.3322916666666667,185.27857142857144,111.47196428571428,30.4421,-98.8427
2017-01-03,0.13634436,0.03779761904761918,14.025958333333334,60.19178571428571,1.4117142857142857,212.03571428571428,123.7790476190476,30.4421,-98.8427
2017-01-04,0.14114188,0.03779761904761918,11.704511904761903,58.03494047619047,1.323595238095238,184.54285714285714,122.35148809523808,30.4421,-98.8427
2017-01-05,0.1377866,0.03779761904761918,10.974791666666665,62.46946428571429,1.361047619047619,211.80714285714288,127.20785714285714,30.4421,-98.8427
2017-01-06,0.09861715,0.03779761904761918,9.290684523809523,65.97511904761903,1.4840297619047622,192.90714285714284,129.01642857142855,30.4421,-98.8427
2017-01-07,0.1666835,0.03779761904761918,6.718672619047618,63.15011904761904,1.3992976190476192,161.31857142857143,139.81517857142856,30.4421,-98.8427
2017-01-08,0.18169822,0.03779761904761918,4.552755952380953,60.1260119047619,1.4935654761904762,165.7042857142857,142.89601190476188,30.4421,-98.8427
2017-01-09,0.14892812,0.0,4.075482142857142,60.30970238095238,1.5772261904761906,152.19,137.89767857142854,30.4421,-98.8427
2017-01-10,0.14995521,0.0,4.687559523809524,62.79833333333334,1.7307559523809526,141.01857142857142,137.04255952380953,30.4421,-98.8427
2017-01-11,0.14222564,0.0,6.647220238095238,63.80958333333334,1.9823154761904764,163.3685714285714,147.52559523809524,30.4421,-98.8427
2017-01-12,0.16433999,0.0,8.39034523809524,64.27303571428573,2.1812023809523806,155.56857142857143,138.49351190476187,30.4421,-98.8427
2017-01-13,0.093517184,0.0,11.854958333333334,66.32190476190478,2.277190476190476,178.59714285714287,147.93363095238095,30.4421,-98.8427
2017-01-14,0.14225268,0.0,14.011791666666667,72.97065476190477,2.2823869047619048,187.68571428571428,126.48874999999998,30.4421,-98.8427
2017-01-15,0.13685927,0.0967261904761906,16.159083333333335,79.27130952380953,2.3603095238095233,180.44285714285712,106.38797619047617,30.4421,-98.8427
2017-01-16,0.20580314,0.0997619047619049,16.66772619047619,79.5769642857143,2.1072857142857138,197.34285714285716,105.14339285714284,30.4421,-98.8427
