model,config,label,params,output_horizon,season,rmse,mae,mape,corr,features
xgboost,23,XGBOOST | Horizon=168 | Season=All,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 100}",168,All,0.03924960997653196,0.02942025490306301,0.1642860848990101,0.6524847985943654,"['SWC_10', 'T_5']"
xgboost,24,XGBOOST | Horizon=48 | Season=All,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 200}",48,All,0.03925894956228811,0.027477014765989006,0.15734299378502387,0.6974803835363694,"['SWC_10', 'T_5']"
xgboost,24,XGBOOST | Horizon=72 | Season=All,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 200}",72,All,0.04291536343939776,0.031559432055527595,0.1796287274037772,0.6227631393937312,"['SWC_10', 'T_5']"
xgboost,24,XGBOOST | Horizon=168 | Season=All,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 200}",168,All,0.04249522250762725,0.031444060587442466,0.17826114654379155,0.6126025032462707,"['SWC_10', 'T_5']"
xgboost,25,XGBOOST | Horizon=48 | Season=All,"{'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 50}",48,All,0.03536225154578076,0.024150340656040575,0.13597033275185583,0.7361627149921942,"['SWC_10', 'T_5']"
xgboost,25,XGBOOST | Horizon=72 | Season=All,"{'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 50}",72,All,0.039835239110711414,0.02829330081443327,0.15761391417843842,0.6520730177358401,"['SWC_10', 'T_5']"
xgboost,25,XGBOOST | Horizon=168 | Season=All,"{'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 50}",168,All,0.04202788763698355,0.03102289303238285,0.17429769685742005,0.5977177404302795,"['SWC_10', 'T_5']"
xgboost,26,XGBOOST | Horizon=48 | Season=All,"{'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 100}",48,All,0.03742793459964875,0.025877336597939272,0.14678963599780726,0.7113838289581582,"['SWC_10', 'T_5']"
xgboost,26,XGBOOST | Horizon=72 | Season=All,"{'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 100}",72,All,0.042175967883331424,0.030396885522090553,0.17110251148968175,0.6185170039842415,"['SWC_10', 'T_5']"
xgboost,26,XGBOOST | Horizon=168 | Season=All,"{'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 100}",168,All,0.0437263887966697,0.03205338138982354,0.181020037440344,0.5764468405423672,"['SWC_10', 'T_5']"
xgboost,27,XGBOOST | Horizon=48 | Season=All,"{'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 200}",48,All,0.03838768120887641,0.026808009099590954,0.1525359156032431,0.7031658873862269,"['SWC_10', 'T_5']"
xgboost,27,XGBOOST | Horizon=72 | Season=All,"{'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 200}",72,All,0.04336626727256992,0.03135692867239571,0.1771378844775414,0.5991744758397675,"['SWC_10', 'T_5']"
xgboost,27,XGBOOST | Horizon=168 | Season=All,"{'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 200}",168,All,0.044179119820968824,0.03251941539082539,0.1839441039626756,0.579201647118697,"['SWC_10', 'T_5']"
model,config,label,params,output_horizon,season,rmse,mae,mape,corr,features
arima,1,ARIMA | Horizon=48 | Season=All,"{'d': 0, 'p': 0, 'q': 0, 'seasonal': True}",48,All,0.054478216491511036,0.04650503420010696,0.26938856559603236,,
arima,1,ARIMA | Horizon=72 | Season=All,"{'d': 0, 'p': 0, 'q': 0, 'seasonal': True}",72,All,0.054478216491511036,0.04650503420010696,0.26938856559603236,,
arima,1,ARIMA | Horizon=168 | Season=All,"{'d': 0, 'p': 0, 'q': 0, 'seasonal': True}",168,All,0.054478216491511036,0.04650503420010696,0.26938856559603236,,
arima,2,ARIMA | Horizon=48 | Season=All,"{'d': 0, 'p': 0, 'q': 0, 'seasonal': False}",48,All,0.054478216491511036,0.04650503420010696,0.26938856559603236,,
arima,2,ARIMA | Horizon=72 | Season=All,"{'d': 0, 'p': 0, 'q': 0, 'seasonal': False}",72,All,0.054478216491511036,0.04650503420010696,0.26938856559603236,,
arima,2,ARIMA | Horizon=168 | Season=All,"{'d': 0, 'p': 0, 'q': 0, 'seasonal': False}",168,All,0.054478216491511036,0.04650503420010696,0.26938856559603236,,
arima,3,ARIMA | Horizon=48 | Season=All,"{'d': 0, 'p': 0, 'q': 1, 'seasonal': True}",48,All,0.05447698831767988,0.04650283702535693,0.2693817814259385,0.015017279370340683,
arima,3,ARIMA | Horizon=72 | Season=All,"{'d': 0, 'p': 0, 'q': 1, 'seasonal': True}",72,All,0.05447698831767988,0.04650283702535693,0.2693817814259385,0.015017279370340683,
arima,3,ARIMA | Horizon=168 | Season=All,"{'d': 0, 'p': 0, 'q': 1, 'seasonal': True}",168,All,0.05447698831767988,0.04650283702535693,0.2693817814259385,0.015017279370340683,
