Anomaly Dates
01-03-2015
06-29-2015
10-24-2015
10-25-2015
10-26-2015
10-27-2015
10-28-2015
10-29-2015
10-30-2015
10-31-2015
11-01-2015
11-03-2015
11-04-2015
04-19-2016
05-19-2016
05-20-2016
06-29-2016
07-09-2016
07-28-2016
07-29-2016
07-30-2016
07-31-2016
08-01-2016
08-07-2016
08-08-2016
08-09-2016
08-10-2016
08-11-2016
08-13-2016
08-14-2016
08-15-2016
08-16-2016
08-17-2016
08-18-2016
08-23-2016
09-27-2016
09-28-2016
09-29-2016
10-07-2016
11-04-2016
05-22-2017
05-23-2017
05-24-2017
05-25-2017
06-27-2017
06-28-2017
08-07-2017
08-08-2017
08-09-2017
08-10-2017
08-28-2017
09-28-2017
09-29-2017
09-30-2017
10-01-2017
10-02-2017
10-08-2017
12-07-2017
12-08-2017
05-05-2018
05-06-2018
08-15-2018
08-16-2018
08-17-2018
08-18-2018
08-19-2018
08-20-2018
09-06-2018
09-07-2018
09-08-2018
09-09-2018
09-10-2018
09-11-2018
10-27-2018
10-28-2018
10-30-2018
04-25-2019
06-10-2019
06-11-2019
06-20-2019
10-23-2019
01-17-2020
01-18-2020
01-19-2020
05-17-2020
05-18-2020
05-25-2020
05-27-2020
09-05-2020
09-06-2020
09-07-2020
09-08-2020
09-09-2020
09-10-2020
09-11-2020
09-14-2020
09-15-2020
01-01-2021
01-02-2021
01-03-2021
04-30-2021
05-01-2021
06-13-2021
06-14-2021
06-15-2021
07-06-2021
07-07-2021
07-08-2021
